county,n_schools,avg_frpm_pct,avg_total,avg_pct_ge_1500
Merced,12,73.0,1326.5,22.5
Imperial,7,70.5,1375.6,29.8
Los Angeles,332,68.0,1336.2,27.5
Tulare,20,67.9,1346.8,26.7
Fresno,33,67.4,1328.8,25.8
San Francisco,19,65.9,1383.4,34.9
San Bernardino,62,64.7,1382.3,31.7
Kern,32,62.3,1370.6,29.1
Riverside,60,61.9,1386.2,32.6
Mendocino,8,61.7,1502.0,50.2
Monterey,14,60.1,1400.8,33.7
Kings,7,58.4,1337.7,25.7
San Joaquin,33,57.9,1408.0,34.9
Stanislaus,21,56.6,1426.6,37.2
Sacramento,51,56.0,1431.0,38.9
Madera,7,55.3,1395.4,32.6
Alameda,55,54.8,1429.8,39.8
San Diego,96,50.1,1472.8,45.2
Sutter,6,48.6,1445.8,38.3
Santa Barbara,12,47.6,1506.7,50.4
Yolo,7,47.2,1496.7,48.2
Orange,72,46.2,1538.8,53.0
Butte,10,45.8,1509.7,51.8
Sonoma,16,43.0,1540.9,53.7
Shasta,8,41.7,1560.8,58.7
Napa,6,41.7,1449.7,39.5
Contra Costa,36,41.7,1455.4,44.0
Humboldt,10,41.6,1551.1,57.3
Solano,11,40.9,1475.4,46.4
Ventura,23,37.5,1534.5,54.1
Santa Clara,47,36.4,1588.9,56.8
San Luis Obispo,8,34.9,1575.6,59.5
Santa Cruz,11,34.1,1574.8,58.4
Nevada,5,33.2,1616.6,69.2
San Mateo,20,32.9,1577.4,57.6
El Dorado,7,31.5,1590.6,66.1
Placer,17,27.2,1565.5,58.4
Marin,9,25.4,1619.8,67.0
