poverty_quartile,school,county,frpm_pct,avg_total,rank_in_quartile,quartile_avg,diff_from_avg,is_charter
1,Mission San Jose High,Alameda,3.4,2023,1,1628.9,394.1,0
1,Lynbrook High,Santa Clara,4.8,2001,2,1628.9,372.1,0
1,Whitney (Gretchen) High,Los Angeles,18.9,1987,3,1628.9,358.1,0
2,Oxford Academy,Orange,37.9,1930,1,1480.4,449.6,0
2,Lowell High,San Francisco,47.5,1825,2,1480.4,344.6,0
2,Mira Loma High,Sacramento,42.9,1801,3,1480.4,320.6,0
3,Mark Keppel High,Los Angeles,60.5,1642,1,1344.8,297.2,0
3,American Indian Public High,Alameda,70.6,1622,2,1344.8,277.2,1
3,Stockton Unified Early College Academy,San Joaquin,68.3,1601,3,1344.8,256.2,1
4,Oakland Charter High,Alameda,80.0,1627,1,1250.7,376.3,1
4,Preuss School UCSD,San Diego,95.4,1571,2,1250.7,320.3,1
4,East Village High,San Diego,86.4,1529,3,1250.7,278.3,0
